video_id,title,channel_id,publish_date,views
2kyS6SvSYSE,WE WANT TO TALK ABOUT OUR MARRIAGE,001,2017-11-13,748374
1ZAPwfrtAFY,The Trump Presidency: Last Week Tonight with John Oliver (HBO),002,2017-12-13,2418783
5qpjK5DgCt4,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",003,2017-01-12,3191434
puqaWrEC7tY,Nickelback Lyrics: Real or Fake?,004,2017-02-02,343168
d380meD0W0M,I Dare You: GOING BALD!?,005,2017-11-12,2095731
gHZ1Qz0KiKM,2 Weeks with iPhone X,006,2017-11-16,119180
39idVpFF7NQ,Roy Moore & Jeff Sessions Cold Open - SNL,007,2017-03-30,2103417
nc99ccSXST0,5 Ice Cream Gadgets put to the Test,008,2017-09-02,817732
jr9QtXwC9vc,The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX,009,2017-10-11,826059
TUmyygCMMGA,Why the rise of the robots wonâ€™t mean the end of work,010,2017-07-11,256426
9wRQljFNDW8,Dion Lewis' 103-Yd Kick Return TD vs. Denver! | Can't-Miss Play | NFL Wk 10 Highlights,011,2018-03-05,81377
VifQlJit6A0,(SPOILERS) 'Shiva Saves the Day' Talked About Scene Ep. 804 | The Walking Dead,012,2017-01-30,104578
5E4ZBSInqUU,Marshmello - Blocks (Official Music Video),013,2017-11-11,687582
GgVmn66oK_A,Which Countries Are About To Collapse?,014,2017-12-12,544770
TaTleo4cOs8,SHOPPING FOR NEW FISH!!!,015,2017-10-20,207532
kgaO45SyaO4,The New SpotMini,016,2018-04-15,75752
ZAQs-ctOqXQ,One Change That Would Make Pacific Rim a Classic,017,2016-08-31,295639
YVfyYrEmzgM,How does your body know you're full? - Hilary Coller,018,2017-06-02,78044
eNSN6qet1kE,HomeMade Electric Airplane,019,2017-05-24,97007
