channel_id,title ,release_date
1,CaseyNeistat,2010-12-15
2,LastWeekTonight,2014-03-18
3,Rudy Mancuso,2011-09-30
4,Good Mythical Morning,2008-09-17
5,nigahiga,2006-07-20
6,iJustine,2006-05-07
7,Saturday Night Live,2013-07-23
8,CrazyRussianHacker,2012-05-18
9,20th Century Fox,2006-07-13
10,Vox,2014-03-04
11,NFL,2014-12-13
12,amc,2016-06-26
13,marshmello,2015-04-06
14,NowThis World,2013-01-23
15,The king of DIY,2008-05-16
16,BostonDynamics,2008-07-06
17,Cracked,2006-02-08
18,TED-Ed,2011-03-01
19,PeterSripol,2016-04-26
